Sample,condition,donor,bam
D1_untreated,untreated,D1,bam/B5GPTZ_1_D1_untreated_dedup-mapped-reads.bam
D1_NT,NT,D1,bam/B5GPTZ_2_D1_A62_dedup-mapped-reads.bam
D1_CD81,CD81,D1,bam/B5GPTZ_3_D1_CD81_dedup-mapped-reads.bam
D1_CD45g1,CD45g1,D1,bam/B5GPTZ_4_D1_B20_dedup-mapped-reads.bam
D1_CD45g2,CD45g2,D1,bam/B5GPTZ_5_D1_B60_dedup-mapped-reads.bam
D1_CD14g1,CD14g1,D1,bam/B5GPTZ_6_D1_B61_dedup-mapped-reads.bam
D1_CD14g2,CD14g2,D1,bam/B5GPTZ_7_D1_B62_dedup-mapped-reads.bam
D2_untreated,untreated,D2,bam/B5GPTZ_8_D2_untreated_dedup-mapped-reads.bam
D2_NT,NT,D2,bam/B5GPTZ_9_D2_A62_dedup-mapped-reads.bam
D2_CD81,CD81,D2,bam/B5GPTZ_10_D2_CD81_dedup-mapped-reads.bam
D2_CD45g1,CD45g1,D2,bam/B5GPTZ_11_D2_B20_dedup-mapped-reads.bam
D2_CD45g2,CD45g2,D2,bam/B5GPTZ_12_D2_B60_dedup-mapped-reads.bam
D2_CD14g1,CD14g1,D2,bam/B5GPTZ_13_D2_B61_dedup-mapped-reads.bam
D2_CD14g2,CD14g2,D2,bam/B5GPTZ_14_D2_B62_dedup-mapped-reads.bam
D3_untreated,untreated,D3,bam/92X4GY_1_D3_Non-treated_dedup-mapped-reads.bam
D3_NT,NT,D3,bam/92X4GY_2_D3_A62_dedup-mapped-reads.bam
D3_CD81,CD81,D3,bam/92X4GY_3_D3_CD81-targeting_dedup-mapped-reads.bam
D3_CD45g1,CD45g1,D3,bam/92X4GY_4_D3_B20_dedup-mapped-reads.bam
D3_CD45g2,CD45g2,D3,bam/92X4GY_5_D3_B60_dedup-mapped-reads.bam
D3_CD14g1,CD14g1,D3,bam/92X4GY_6_D3_B61_dedup-mapped-reads.bam
D3_CD14g2,CD14g2,D3,bam/92X4GY_7_D3_B62_dedup-mapped-reads.bam
D4_untreated,untreated,D4,bam/92X4GY_8_D4_Non-treated_dedup-mapped-reads.bam
D4_NT,NT,D4,bam/92X4GY_9_D4_A62_dedup-mapped-reads.bam
D4_CD81,CD81,D4,bam/92X4GY_10_D4_CD81-targeting_dedup-mapped-reads.bam
D4_CD45g1,CD45g1,D4,bam/92X4GY_11_D4_B20_dedup-mapped-reads.bam
D4_CD45g2,CD45g2,D4,bam/92X4GY_12_D4_B60_dedup-mapped-reads.bam
D4_CD14g1,CD14g1,D4,bam/92X4GY_13_D4_B61_dedup-mapped-reads.bam
D4_CD14g2,CD14g2,D4,bam/92X4GY_14_D4_B62_dedup-mapped-reads.bam
